artist,song,lyrics
"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",Watch This - ARIZONATEARS Pluggnb Remix,"Everything disgusting, conversation is so boring Heard about what? I hate her, I don't agree, I did it first I give a fuck, I just wanna fuck, eat, sleep, love, happy Can you make me happy? Can you keep me happy?  Can you distract me from all the disaster? Can you touch on me and not call me after? Can you hate on me and mask it with laughter? Can you lead me to the ark? What's the password?  I need humanity Y'all luck humanity, drowning in vanity Craving humanity Y'all lack humanity, I need humanity, I need  Everybody wanna be beautiful, scared of the unusual Scared of giving mutual respect, all that you hate You reflect all the godlike, you forget how to love somebody I hate everybody, I hate everyone  Let's talk about A.I., robot got more heart than I ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,One Thing At A Time,"Last night, all I think about is you Don't stop, baby, you can walk through Don't wanna, but I think about you You know that I'm never gonna lose  Road shimmer, wiggling the vision  Heat, heat waves, I'm swimming in a mirror Road shimmer, wiggling the vision Heat, heat waves, I'm swimmin' in a-  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Usually, I put something on TV So we never think about you and me But today, I see our reflections clearly in Hollywood Laying on the screen  You just need a better life than this ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"SZA, Phoebe Bridgers",Ghost in the Machine (feat. Phoebe Bridgers),"Yeah, yeah oh Yeah, yeah yeah  That's the way everyday goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me  Nod my head, don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly then you'd feel south Up north's getting cold soon  The way it is, we're on land So I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin  Just the same way you showed me, showed me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lizzo, SZA",Special (feat. SZA),"Hello I've waited here for you Everlong Tonight I throw myself into And out of the red, out of her head, she sang  Come down And waste away with me Down with me Slow how You wanted it to be  I'm over my head, out of her head she sang ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Glass Animals,Heat Waves,"I could have my Gucci on I could wear my Louis Vuitton But even with nothing on Bet I made you look (I made you look)  I'll make you double take soon as I walk away Call up your chiropractor just in case your neck break Ooh, tell me what you, what you, what you gon' do? Ooh 'Cause I'm 'bout to make a scene, double up that sunscreen I'm 'bout to turn the heat up, gonna make your glasses steam Ooh, tell me what you, what you, what you gon' do? Ooh  When I do my walk, walk I can guarantee your jaw will drop, drop 'Cause they don't make a lot of what I got, got Ladies, if you feel me, this your bop, bop ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Frank Ocean,Pink + White,"(Honorable C.N.O.T.E.) (Metro)  Keep the bitch jump, uh-uh Keep it on jump, uh-uh (jump) Keep the bitch ju-u-ump I caught it cool, for a ten The bitch get loose, she tryna win I beat her by the house, I beat her in There's forty in the couch, I let her spend  When the car's lit, better call in She done popped all out, she done called twin I done went too spazzed out, I put the raw in I done hit the strip club and spent a tall ten Lil' shawty off the Clicquot She been comin' hot just like a heat stroke (heat stroke) I could see you lurkin' through the peephole I'm stackin' different money, type of C notes (C notes) I'm talkin' C notes, nigga, hit C notes  You spend what you want and you get what you want I guess you got what you wanted You're hittin' the pole and you give it your all Now, you keepin' it honest (Yeah) It's too many nights I went nameless ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Foo Fighters,Everlong,"Anyway-  It's bad bitch o'clock, yeah, it's thick:30 I've been through a lot, but I'm still flirty (okay) Is everybody back up in the building? It's been a minute, tell me how you're healing 'Cause I'm about to get into my feelings How you feeling? How you feel right now?  Oh, I've been so down and under pressure I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better  Turn up the music, turn down the lights I've got a feeling I'm gon' be alright Okay (okay), alright It's about damn time (time) Turn up the music, let's celebrate (alright) I've got a feeling I'm gon' be okay Okay (okay), alright It's about damn time  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Meghan Trainor,Made You Look,"I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours  Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours  I wanna be yours Wanna be yours Wanna be yours ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),"Na-na-na, come on Na-na-na, come on Na-na-na-na-na, come on Na-na-na, come on, come on, come on  Na-na-na-na, come on Na-na-na, come on Na-na-na-na-na, come on Na-na-na, come on, come on, come on Na-na-na-na  Feels so good being bad (oh, oh, oh, oh, oh) There's no way I'm turning back (oh, oh, oh, oh, oh) Now the pain is for pleasure 'Cause nothing can measure (oh, oh, oh, oh, oh, oh, oh)  Love is great, love is fine (oh, oh, oh, oh, oh) Out the box, outta line (oh, oh, oh, oh, oh) The affliction of the feeling leaves me wanting more (oh, oh, oh, oh, oh, oh, oh)  'Cause I may be bad, but I'm perfectly good at it Sex in the air, I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me  'Cause I may be bad, but I'm perfectly good at it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lizzo,About Damn Time,"Yeah It's all good (Yeah) Yeah You know how it feels (Yeah) All mine All mine Yeah All mine All mine All mine (It's all good) Yeah All mine All mine Yeah All mine All mine All mine (It's all good) Yeah  See let's keep it real We both still young So what's the rush The night is young and we not drunk enough You come around if I don't do too much We had our downs but we had way more ups Let's make love That be the reason that you always hit me up I swear You like the way I fuck cause I get rough You told me your new man don't make you nut That's a damn shame You come here, I knock yo pussy out the damn frame Remember that last time I made you miss yo damn plane Remember that last time I wet ya down wit champagne Remember that? And I know I've been the worst But I'll love you better If you let me Let's catch a flight, change the weather And I promise forever ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Arctic Monkeys,I Wanna Be Yours,"M-M-M-Murda  Let's get it Hop off a 16 passenger This a G5, no, this not a Challenger (big one) I keep some members with me, the freaks get coach seats They some cannibals (eaters) They like to get geeked, drink a whole bottle, wake up and repeat (damn) She took a lil' (shh), mixed it with the (chill out) Now she said she seein' 3D (wow)  I go in the jungle and I ain't got a coat, I bet I come out with a mink (I bet I) Do this shit for the fam' 'cause this shit bigger than me (big) Color stones in my infinity link, and in the factory, masterpiece (factory) I call him twin 'cause that be my brother We got the same Rollie, he matchin' me (nah, for real)  Water on me like the sauna (wet), some karats, some pointers (woo) All these commas, I won't fumble (fumble) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,S&M,"Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt So me put in Work, work, work, work, work, work  When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting  Dry me ah desert him Nuh time to have you lurking Him ah go act like he nah like it You know I dealt with you the nicest Nuh body touch me in the righteous Nuh botha text me in a crisis  I believed all of your dreams, adoration You took my heart and my keys and my patience You took my heart on my sleeve for decoration You mistaken my love I brought for you for foundation  All that I wanted from you was to give me Something that I never had Something that you've never seen Something that you've never been Mmm-mmm But I wake up and act like nothing's wrong Just get ready fi  Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Brent Faiyaz,ALL MINE,"Throw it, throw it up Watch it all fall out Pour it up, pour it up That's how we ball out Throw it up, throw it up Watch it all fall out Pour it up, pour it up That's how we ball out  Strip clubs and dollar bills I still got mo' money Patron shots, can I get a refill I still got mo' money Strippers going up and down that pole And I still got mo' money Four o'clock and we aint going home 'Cause I still got mo' money Money make the world go around I still got mo' money Bands make your girl go down And I still got mo' money Lot more where dat came from I still got mo' money I look in your eyes, I know you want some And I still got mo' money  Oh ohh ohhh, ohhh oh oh oh All I see is signs ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Quavo, Takeoff",HOTEL LOBBY (Unc & Phew),We done did so much around the law (21) I done seen so much I shouldn't have saw (straight up) Tatted tear drops called niagra falls It been up and down but never fall I been at the lock behind the wall (21) I been at the lock behind the  Ratchet bitches wanted Frenchie's not Felipe That's the type that put me in my mood She know that I'm hot but she come cool for me She know how to put me in my groove I know it's a lot that you can learn from me It's just one thing you that you gotta prove If you gotta walk would you still ride for me I might need a extra foot or two Gotta keep my distance they surrounding me I'mma need a extra foot or two They might have to go and build a house for me I'mma need a extra foot or  Crib same size as the galleria Spanish model with me call her señorita I dun fell in love with a hood girl She be puttin syrup in her margaritas Bought my college vibe a brand new Birkin On the weekend she be twerkin Take a shower in the Maybach ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
"Rihanna, Drake",Work,"Used to spend my nights out in a bar room Liquor was the only love I've known But you rescued me from reachin' for the bottom And brought me back from being too far gone  You're as smooth As Tennessee whiskey You're as sweet As strawberry wine You're as warm As a glass of brandy And honey, I stay stoned on your love All the time  I've looked for love in all the same old places ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Pour It Up,"Yeh-yeh-yeh-yeh-yeh-yeh Eh, eh-eh-eh  No sé si es casualidad que yo me sienta así Siempre que tú estás cerquita de mí Dime qué me hiciste, qué droga me diste Que desde aquella noche no soy igual Tú me mira' y empiezo a sudar Siento que puedo volar  Baby, la nota ya está haciendo efecto Mi mundo está jodío y me siento perfecto Porque estás tú aquí, moviéndote así, no pare' Baby, tú eres mi droga, esta noche no le baje'  Porque la nota ya está haciendo efecto ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, Travis Scott, 21 Savage",Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"(You don't know!) (You don't know the pain, man!) Hey, Mickey!  Oh, Mickey you're so fine! You're so fine, you blow my mind! Oh, Mickey you're so fine! You're so fine you, uh, uh! Oh, oh, Mickey you're so fine! You're so fine you blow my mind! Oh, Mickey you're so fine! You're so fine you blow my mind!  Met this boy named Mickey He had on some yellow Dickies I knew he was a hubby 'Cause his neck had hella hickies I said ""It's nice to meet you!"" Shook his hand and it was sticky I looked into his eyes and then ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Chris Stapleton,Tennessee Whiskey,"I do the same thing, I told you that I never would I told you I changed, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey  I get drunk, wake up, I'm wasted still I realize the time that I wasted here I feel like you can't feel the way I feel I'll be fucked up if you can't be right here  Oh-whoa (oh-whoa, whoa) Oh-whoa (oh-whoa, whoa) Oh-whoa (oh-whoa, whoa) I'll be fucked up if you can't be right here  I do the same thing, I told you that I never would I told you I changed, even when I knew I never could ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bad Bunny,Efecto,Are you sick of me? Would you like to be? I'm trying to tell you something Something that I already said  You like a pretty boy With a pretty voice Who is trying to sell you something Something that you already have  But if you're too drunk to drive And the music is right She might let you stay But just for the night And if she grabs for your hand And drags you along She might want a kiss Before the end of this song ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Baby Tate,"Hey, Mickey!","They're rotting my brain, love These hoes are the same  I admit it, another hoe got me finished Broke my heart, oh no, you didn't Fuck sippin', I'ma down a whole bottle Hard liquor, hard truth, can't swallow Need a bartender, put me out of my sorrow Wake up the next day in the Monte Carlo With a new woman, tell me she from Colorado And she love women, she'll be gone by tomorrow  Who am I kiddin'? All this jealousy and agony that I sit in I'm a jealous boy, really feel like John Lennon I just want real love, guess it's been a minute ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),"Okay, okay, okay, okay Okay, okay, oh  You live in my dream state Relocate my fantasy I stay in reality You live in my dream state Any time I count sheep That's the only time we make up, make up You exist behind my eyelids, my eyelids Now I don't wanna wake up  20/20, 20/20 vision Cupid hit me, cupid hit me with precision I wonder if you look both ways When you cross my mind (Yeah), I said, I said I'm sick of, sick of, sick of, sick of chasing You're the one that's always running through my daydream, I I can only see your face when I close my eyes  Can I get a kiss? And can you make it last forever? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
TV Girl,Lovers Rock,"I think I, I think I finally Found a way to forgive myself For the mistakes I made in my past I think that's the first step, right?  You agree?  I've dug two graves for us, my dear Can't pretend that I was perfect, leavin' you in fear Oh, man, what a world, the things I hear If I could act on my revenge, no, would I? Some kill, some steal, some break your heart ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Juice WRLD,All Girls Are The Same,"Run that back, Turbo!  You can get the biggest Chanel bag in the store if you want it I gave 'em the drip, they sucked it up, I got 'em on it I bought a new Patek, I had the watch, so I two-toned 'em Taking these drugs, I'm gon' be up until the morning That ain't your car, you just a leaser, you don't own it If I'm in the club, I got that fire when I'm performing The backend just came in, in all hundreds Vibes galore, cute shit, they all on us I'm from Atlanta, where young niggas run shit I know they hating on me, but I don't read comments Whenever I tell her to come, she coming Whenever it's smoke, we ain't running  Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doing all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she getting slayed ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),"Tan fácil que es enamorarme Y tan difícil olvidarte Porque la vida me juraste Y hoy te busco y tú no estás  Aunque me duela ver tu foto Entreno a mi corazón roto Por si mañana te vuelva a encontrar  Ya no sé disimular Llamo y no te puedo hablar Tu recuerdo no se va No se va, no se va Algo en ti quiere volver Y algo en mí te va a encontrar Tu recuerdo no se va No se va, no se va  Quédate otra vez Quédate toda la noche Quédate otra vez Quédate más de las 12:00  Quédate otra vez Que mi corazón no olvida ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
XXXTENTACION,Revenge,"You leapt from crumbling bridges Watching cityscapes turn to dust  Filming helicopters crashing In the ocean from way above  Got the music in you, baby Tell me why Got the music in you, baby Tell me why You've been locked in here forever And you just can't say goodbye  Kisses on the foreheads of the lovers Wrapped in your arms  You've been hiding them in hollowed out pianos Left in the dark  Got the music in you, baby ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Yeah Yeah Yeah  Your man on the road, he doin' promo You said, ""Keep our business on the low-low"" I'm just tryna get you out the friend zone 'Cause you look even better than the photos  I can't find your house, send me the info Drivin' through the gated residential Found out I was comin', sent your friends home Keep on tryna hide it but your friends know  I only call you when it's half past five The only time that I'd be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah  I only call you when it's half past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Grupo Frontera,No Se Va - En Vivo,"B-B-B-Bound to fall in love Bound to fall in love (Uh-huh, honey)  All them other niggas lame, and you know it now When a real nigga hold you down, you supposed to drown  Bound (bound) to fall in love B-B-B-Bound (bound) to fall in love (Uh-huh, honey)  What you doing in the club on a Thursday? She say she only here for her girl birthday They ordered champagne but still look thirsty Rock Forever 21 but just turned 30 I know I got a bad reputation Walk-around-always-mad reputation  Leave-a-pretty-girl-sad reputation Start a Fight Club, Brad reputation I turnt the nightclub out of the basement I'll turn the plane around, your ass keep complaining How you gon' be mad on vacation? Dutty wining 'round all these Jamaicans ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Cigarettes After Sex,Apocalypse,"Déjate ver Dime si hoy va' pa' la calle, bebé 'Toy en el case pensándote otra vez Quiero pichar, pero me salió al revés  Mi amor A las do' paso por ti, ve arreglándote Hoy to' corre por la mía, relájate Prometí que no iba a hacerte daño Así me sienta' extraño, soy el que se quedó en tu piel  Y mientras (y mientras) me calientas (me calientas) Veo todo lo quе nunca me cuentas (Me cuеntas) El party e' má' cabrón si tú te sueltas  Dale hasta abajo que ese culo responde Bebé, no te haga', tú eres under Yo sé to' lo que tú esconde' Tú y yo vamo' a hacer más de una noche  Y mientras (y mientras) me calientas (me calientas) Veo todo lo que nunca me cuentas (Me cuentas) El party e' má' cabrón si tú te sueltas El party e' má' cabrón si tú te sueltas  Fluya, fluya ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Weeknd,The Hills,"Bum bum be-dum, bum bum be-dum bum (what's wrong with me?) Bum bum be-dum, bum bum be-dum bum (why do I feel like this?) Bum bum be-dum, bum bum be-dum bum (I'm going crazy now) Bum bum be-dum, bum bum be-dum bum  No more gas, in the red (can't even get it started) Nothing heard, nothing said (can't even speak about it) All my life on my head (don't want to think about it) Feels like I'm going insane, yeah  It's a thief in the night to come and grab you (ah-ah) It can creep up inside you and consume you (ah-ah) A disease of the mind, it can control you (ah-ah) It's too close for comfort, oh  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise  Your mind's in disturbia It's like the darkness is the light Disturbia, am I scaring you tonight? (Your mind is in) Disturbia, ain't used to what you like Disturbia, disturbia  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Bound 2,"Come here rude boy, boy, can you get it up? Come here rude boy, boy, is you big enough? Take it, take it, (Yeah) baby, baby (yeah) Take it, take it, (Yeah) love me, love me (yeah)  Come here rude boy, boy, can you get it up? Come here rude boy, boy, is you big enough? Take it, take it, (Yeah) baby, baby (yeah) Take it, take it, (Yeah) love me, love me (yeah)  Tonight, I'ma let you be the captain Tonight, I'ma let you do your thing, yeah Tonight, I'ma let you be a rider Giddy up, giddy up, giddy up babe Tonight, I'ma let it be fire Tonight, I'ma let you take me higher Tonight, baby we can get it on, yeah We can get it on, yeah  Do you like it boy? I wa-wa-want What you wa-wa-want Give it to me baby, like boom, boom, boom What I wa-wa-want is what you wa-wa-want na, na-ah  Come here rude boy, boy, can you get it up? Come here rude boy, boy, is you big enough? Take it, take it (Yeah) baby, baby (yeah) Take it, take it (Yeah) love me, love me (yeah)  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Yandel, Feid",Yandel 150,"She'd take the world off my shoulders if it was ever hard to move She'd turn the rain to a rainbow when I was living in the blue Why then if she's so perfect, do I still wish that it was you? Perfect don't mean that it's working, so what can I do? (Ooh)  When you're out of sight in my mind  'Cause sometimes I look in her eyes, and that's where I find a glimpse of us And I try to fall for her touch, but I'm thinking of the way it was Said, ""I'm fine"" and said, ""I moved on"" I'm only here passing time in her arms ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Disturbia,"Él te ama, te adora, lo da todo por ti Pero tú ere' una diabla que está loca por mí A ti te gusta lo malo, irte a fuego conmigo, eh-eh El pelo te jalo, estoy que te bendigo Aunque tú ere' pecado, eh, voy pa'l infierno si sigo Detrá' de ese culote, ya voy de camino  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Canto 'e bellaca, ese toto vo'a martillarte (jajajajaja) En el Can-Am voy a buscarte (Real G) Ponte en cuatro, woman, que ese culo vo'a chuparte (plo, plo, plo) Loco por venirme, pero voy a esperar a que te venga' primero tú, sí (jajajaja)  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Rude Boy,"Poor me, pour me another drink 'Cause I don't wanna feel a thing No more, hell nah I just wanna sip 'til the pain wears off Poor me, pour me another round Line 'em up and knock 'em down Two more let's go 'Cause I ain't never hurt like this before  Don't wanna think about her Or wear a ring without her Don't wanna hit the karaoke bar Can't sing without her So make them drinks strong 'Cause brother she's gone And if I'm ever gonna move on  I'ma need some whiskey glasses 'Cause I don't wanna see the truth She's probably making out on the couch right now With someone new Yeah, I'ma need some whiskey glasses If I'm gonna make it through If I'ma be single I'ma need a double shot of that heartbreak proof And see the world through whiskey glasses (Ain't nothing else to do, but sip around the truth) And see the world through whiskey glasses ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Joji,Glimpse of Us,"When your wrist like this, you don't check the forecast Every day it's gon' rain, yeah Made a brick through a brick, ain't whip up shit This pure cocaine, yeah From the streets, but I got a little sense But I had to go coupe, no brain (Coupe, no brain) Ain't worried 'bout you, I'ma do what I do And I do my thing (Do my thing)  Bought her brand new shoes, told her kick rocks Don't stand too close, diamonds kickbox Think red means goes so I don't stop I know they wish they could catch me, but keep wishin' You think I done turned into a fiend for these bitches Tryna stuff as much as I can in these britches Made your bitch fuck on my friend, it's no difference I ain't never popped no Xan, I sip sizzurp If I ever have to tell on the gang, I won't do it If I put it on a song, I seen it or been through it I can't put it in my song, I know how the feds move Scream free all of the ahks but I ain't no FamGoon Gave my mama ten bands, sent her to Cancún Got the crowd goin' dumb but I ain't no damn fool If I went in there and did it and made it, you can too We done came a long way from broke and sharing shoes ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Ñengo Flow, Bad Bunny",Gato de Noche,"Yeah Wheezy outta here  The dash, it's digi', the schedule busy My head in a hoodie, my shorty a goodie My cousins are crazy, my cousins like Boogie Life is amazin', it is what it should be Been here for ten but I feel like a rookie I tell her, look up, 'cause it's snowin' in Tootsie's  Booked for three years, man you can't even book me It's me and Lil' Baby, this shit goin' crazy Wheezy produced it and Weezy F. made me And she held it down, so she got a Mercedes Young Money Records, the Army, the Navy They ran me ten thousand, I threw it like Brady The foreign is yellow, like Tracee and K.D I trusted my niggas, they never betrayed me  Met all these niggas, they sweeter than Sadie ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kanye West, Dwele",Flashing Lights,"Yeah, ETB Why you being weird to me?  Ayy, rip off my shirt if you love me (love me) Spit in my face when you fuck me (fuck me) Play with my gooch, while you suck me (suck me) Eat the dick like you was ugly  I mean, hold on, wait Where your friend? Bring your buddy (your buddy) I don't think that you enoughie (enoughie) Her favorite thing to say is, ""Cuff me""  Slut me out (out) Slut me out (out) Slut (slut), slut (slut) Slut me out  Rip off my shirt if you love me (sexy) Spit in my face when you fuck me (come sex me) Play with my gooch, while you suck me (don't text me) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Whiskey Glasses,"Gimme, gimme, gimme some time to think I'm in the bathroom, looking at me Face in the mirror is all I need (ooh-ooh) Wait until the reaper takes my life Never gonna get me out alive I will live a thousand million lives (ooh-ooh)  My patience is waning, is this entertaining? Our patience is waning, is this entertaining?  I-I-I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones I-I-I got this feeling in my soul Go ahead and throw your stones 'Cause there's magic in my bones  Playing with the stick of dynamite There was never gray in black and white There was never wrong 'til there was right (ooh-ooh) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Baby,Pure Cocaine,"Don't, don't play with her, don't be dishonest (Ayy) Still not understandin' this logic (Ayy) I'm back and I'm better (And I'm better) I want you bad as ever Don't let me just let up I wanna give you better Baby, it's whatever  Somebody gotta step up Girl, I'm that somebody, so I'm next up Be damned if I let him catch up It's easy to see that you're fed up I am on a whole 'nother level Girl, he only fucked you over 'cause you let him Fuck him, girl, I guess he didn't know any better Girl, that man didn't show any effort  Do all I can just to show you you're special Certain it's your love that holds me together Lately you say he been killin' the vibe Gotta be sick of this guy Pull up, skrr, get in the ride ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lil Baby, Drake",Yes Indeed,"Hey, ahw, get it Hey, ahw, get it, ye Hey, ahw, get it Hey, ahw, get it Hey, ahw, get it Hey You ain't nothing but a-  Dog, player, I get it Fraud, player, I get it I understand, I understand You ain't the man, you ain't a man (you ain't nothing but a-) Hound dog, hound dog, hound dog You ain't nothing but a-  Player getting valeted 'round in that whole whip Two fingers, set one down on my toes ten Fueled out with my boobs out, put a cork in it Love it when you be crying out when I'm corseted I don't think you gon' make it, do not let me start raging I'm losing my patience, this ain't staying in Vegas (you ain't nothing but a-)  There's more sides to the story, I'ma tell everybody Had your ass sitting courtside with your arm around me Had your ass sitting first class with your burnt ass out in Abu Dhabi Could've been what we should've been, but you lost a bet, now you gotta find me  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NLE Choppa,SLUT ME OUT,"Kiddo, Kiddo K-Kiddominant on the beat, better run it back  Fuckin' Robitussin I don't know why this shit got me lazy right now, yeah Can't do Percocets or Molly I'm turnin' one, tryna live it up here right, right, right  Baby, you can Ride it, ooh yeah Bring it over to my place And you be like, ""Baby, who cares?"" But I know you care Bring it over to my place  You don't know what you did, did to me Your body lightweight, speaks to me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Imagine Dragons,Bones,"Ooh, never thought I would be without you I wish you love, I wish you well I wish you roses while you can still smell them With pretty flowers can come the bee sting (ooh, never thought I would be without you) But I wish you love, I wish you well I wish you roses while you can still smell them (ooh) I was a rose in the garden of weeds My petals are soft and silky as my sheets So do not be afraid to get pricked by the thorn While I'm here, I'm someone to honor When I'm gone, I'm someone to mourn  But if you and my heart should someday drift apart I'll make sure to give you these blessings ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bryson Tiller,Don't,"Dope shit like that Jerm Oh hi Welcome back to K.I.D.S Umm, follow your dreams Yeah!  Wanna get a mansion A jacuzzi, a theater to watch my movies A couple whips and lots of fancy things The kids they call the Goonies I see the future, crystal ball Mirror, mirror hangin' on the wall Who the flyest white boy of them dem all? Got your girlfriend screenin' all the calls  She bubblin', we fuckin' then you cuddlin' Like baby where the fuck you been? Don't wanna tell you she in love with him So, so, we ain't sayin' nothing You could probably tell she bluffin' 'Cause she kiss you with the mouth She gave me head with my concussion  Yeah she blushin', all red ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),"What makes a grown man wanna cry? (Cry, cry, cry, cry) What makes him wanna take his life? Ah, ah (yeah) His happiness is never real (Real, real, real, real) And mindless sex is how he feels, ooh, he heals  When it's time, when it's time, when it's time It won't matter (it don't matter) It won't matter (matter) When it's time, when it's time, when it's time (time, it's time, babe) It won't matter (it won't matter, babe) It won't matter (ya)  It was like he was never there (it was like he was never there) It was like he was gone in thin air (oh) When it's time, when it's time, when it's time, oh, baby It won't matter (it won't matter, baby) It won't matter ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Chris Brown,Under The Influence,"Same bed but it feels just a little bit bigger now Our song on the radio but it don't sound the same When our friends talk about you All it does is just tear me down 'Cause my heart breaks a little When I hear your name  It all just sounds like ooh-ooh, ooh-ooh Mmm, too young, too dumb to realize  That I should've bought you flowers And held your hand Should've gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancing But she's dancing with another man ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
