artist,song,lyrics
"Metro Boomin, Travis Scott, 21 Savage",Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Niggas want me to get ratchet Niggas want me to attack it Put the hood on, now they callin' me Cassius Raunchy like Bob Saget Greedy, I can't pass it  Eating everything, nigga, no fasting I don't care how much you knew me in the past tense I ain't no Julia Stiles, this ain't no last dance Way past it, way  Fuckin' on my ex 'cause he validate me Fuckin' up a check, I don't want no receipt Mind get possessed, let my spirit speak freely  Hey, my past can't escape me My pussy precedes me My, my, how the times change I'm still playin' the victim And you still playin' the pick-me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Frank Ocean,Pink + White,"Things haven't been quite the same There's a haze on the horizon, baby It's only been a couple of days and I miss you Yeah  When nothin' really goes to plan You stub your toe or break your camera I'll do everythin' I can to help you through  If you're feelin' down, I just wanna make you happier, baby  Wish I was around, I just wanna make you happier, baby  We've been doin' all this late night talking 'Bout anything you wanted 'til the mornin' Now you're in my life ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Blind,"Arcángel, pa  A ella no le gusta el reggaetón Pero le encanta cómo canta la sensación (yeah) No fue mi intención (yeah-yeah) Quedarme con toa la atención Vivo en una mansión y no me sé ni la dirección (OMG) Está cabrón, muy cabrón Papi Arca, pídanme la bendición  Joder (tío) Mi casa es un hotel y se ve cabrona la vista (hermoso) En ella puedo aterrizar un avión Solo me falta la pista Imposible que falle esta combinación De flow una ensalada mixta (ah) Palomo, no insistas Cuando se habla de grandeza no estás en la lista  Neverland Los desmonto como LEGOLAND Y si yo te señalo, lo' mío' te lo dan Y vas pa dentro, pero de la van Del cuello pa arriba hace mucho frío Yo llego y cae nieve en el caserío Dejando sin regalos a estos malparíos Santa Claus, con la esencia del Grinch metío  Y yo la vi, anda con dos La amiga me miró Al VIP se pegó Claro que sí, claro que entró Hola Mi nombre es Arcángel, un gusto, un placer Hoy tú te vas con una leyenda que no va a volver a nacer  Ey, y ya la vi, anda con dos La amiga me miró Al VIP se pegó ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Harry Styles,Late Night Talking,"I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours  Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours  I wanna be yours Wanna be yours Wanna be yours ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Arcángel, Bad Bunny",La Jumpa,"Take a look inside your heart, is there any room for me? (Any room for me) I would have to hold my breath 'til you get down on one knee (down on one knee) Because you only want to hold me when I'm looking good enough (looking good enough) Did you ever feel me? Would you ever picture us? (Ever picture us)  Every time I pull my hair, well, it's only out of fear That you'll find me ugly and one day we'll disappear Because what's the point of crying? It was never even love (never even love) Did you ever want me? Was I ever good enough? (Ever good enough)  Th-the boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  The boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  Good enough, 'ough-ough ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Arctic Monkeys,I Wanna Be Yours,"I could have my Gucci on I could wear my Louis Vuitton But even with nothing on Bet I made you look (I made you look)  I'll make you double take soon as I walk away Call up your chiropractor just in case your neck break Ooh, tell me what you, what you, what you gon' do? Ooh 'Cause I'm 'bout to make a scene, double up that sunscreen I'm 'bout to turn the heat up, gonna make your glasses steam Ooh, tell me what you, what you, what you gon' do? Ooh  When I do my walk, walk I can guarantee your jaw will drop, drop 'Cause they don't make a lot of what I got, got Ladies, if you feel me, this your bop, bop ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
PinkPantheress,Boy's a liar,"Anyway-  It's bad bitch o'clock, yeah, it's thick:30 I've been through a lot, but I'm still flirty (okay) Is everybody back up in the building? It's been a minute, tell me how you're healing 'Cause I'm about to get into my feelings How you feeling? How you feel right now?  Oh, I've been so down and under pressure I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better  Turn up the music, turn down the lights I've got a feeling I'm gon' be alright Okay (okay), alright It's about damn time (time) Turn up the music, let's celebrate (alright) I've got a feeling I'm gon' be okay Okay (okay), alright It's about damn time  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Meghan Trainor,Made You Look,"They're rotting my brain, love These hoes are the same  I admit it, another hoe got me finished Broke my heart, oh no, you didn't Fuck sippin', I'ma down a whole bottle Hard liquor, hard truth, can't swallow Need a bartender, put me out of my sorrow Wake up the next day in the Monte Carlo With a new woman, tell me she from Colorado And she love women, she'll be gone by tomorrow  Who am I kiddin'? All this jealousy and agony that I sit in I'm a jealous boy, really feel like John Lennon I just want real love, guess it's been a minute ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lizzo,About Damn Time,"M-M-M-Murda  Let's get it Hop off a 16 passenger This a G5, no, this not a Challenger (big one) I keep some members with me, the freaks get coach seats They some cannibals (eaters) They like to get geeked, drink a whole bottle, wake up and repeat (damn) She took a lil' (shh), mixed it with the (chill out) Now she said she seein' 3D (wow)  I go in the jungle and I ain't got a coat, I bet I come out with a mink (I bet I) Do this shit for the fam' 'cause this shit bigger than me (big) Color stones in my infinity link, and in the factory, masterpiece (factory) I call him twin 'cause that be my brother We got the same Rollie, he matchin' me (nah, for real)  Water on me like the sauna (wet), some karats, some pointers (woo) All these commas, I won't fumble (fumble) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Juice WRLD,All Girls Are The Same,"Everything disgusting, conversation is so boring Heard about what? I hate her, I don't agree, I did it first I give a fuck, I just wanna fuck, eat, sleep, love, happy Can you make me happy? Can you keep me happy?  Can you distract me from all the disaster? Can you touch on me and not call me after? Can you hate on me and mask it with laughter? Can you lead me to the ark? What's the password?  I need humanity Y'all luck humanity, drowning in vanity Craving humanity Y'all lack humanity, I need humanity, I need  Everybody wanna be beautiful, scared of the unusual Scared of giving mutual respect, all that you hate You reflect all the godlike, you forget how to love somebody I hate everybody, I hate everyone  Let's talk about A.I., robot got more heart than I ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Quavo, Takeoff",HOTEL LOBBY (Unc & Phew),"우-우, 우-우  우-우, 우-우  Stay in the middle, like you a little Don't want no riddle, 말해줘, say it back Oh, say it ditto, 아침은 너무 멀어 So say it ditto  훌쩍 커버렸어, 함께한 기억처럼 널 보는 내 마음은, 어느새 여름 지나 가을 기다렸지 all this time  Do you want somebody like I want somebody? 날 보고 웃었지만 do you think about me now, yeah? All the time, yeah? All the time?  I got no time to lose 내 길었던 하루, 난 보고 싶어 ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"SZA, Phoebe Bridgers",Ghost in the Machine (feat. Phoebe Bridgers),"Okay, okay, okay, okay Okay, okay, oh  You live in my dream state Relocate my fantasy I stay in reality You live in my dream state Any time I count sheep That's the only time we make up, make up You exist behind my eyelids, my eyelids Now I don't wanna wake up  20/20, 20/20 vision Cupid hit me, cupid hit me with precision I wonder if you look both ways When you cross my mind (Yeah), I said, I said I'm sick of, sick of, sick of, sick of chasing You're the one that's always running through my daydream, I I can only see your face when I close my eyes  Can I get a kiss? And can you make it last forever? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NewJeans,Ditto,"Yeah Yeah Yeah  Your man on the road, he doin' promo You said, ""Keep our business on the low-low"" I'm just tryna get you out the friend zone 'Cause you look even better than the photos  I can't find your house, send me the info Drivin' through the gated residential Found out I was comin', sent your friends home Keep on tryna hide it but your friends know  I only call you when it's half past five The only time that I'd be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah  I only call you when it's half past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),"Yeah It's all good (Yeah) Yeah You know how it feels (Yeah) All mine All mine Yeah All mine All mine All mine (It's all good) Yeah All mine All mine Yeah All mine All mine All mine (It's all good) Yeah  See let's keep it real We both still young So what's the rush The night is young and we not drunk enough You come around if I don't do too much We had our downs but we had way more ups Let's make love That be the reason that you always hit me up I swear You like the way I fuck cause I get rough You told me your new man don't make you nut That's a damn shame You come here, I knock yo pussy out the damn frame Remember that last time I made you miss yo damn plane Remember that last time I wet ya down wit champagne Remember that? And I know I've been the worst But I'll love you better If you let me Let's catch a flight, change the weather And I promise forever ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Weeknd,The Hills,"I think I, I think I finally Found a way to forgive myself For the mistakes I made in my past I think that's the first step, right?  You agree?  I've dug two graves for us, my dear Can't pretend that I was perfect, leavin' you in fear Oh, man, what a world, the things I hear If I could act on my revenge, no, would I? Some kill, some steal, some break your heart ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Brent Faiyaz,ALL MINE,"I do the same thing, I told you that I never would I told you I changed, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey  I get drunk, wake up, I'm wasted still I realize the time that I wasted here I feel like you can't feel the way I feel I'll be fucked up if you can't be right here  Oh-whoa (oh-whoa, whoa) Oh-whoa (oh-whoa, whoa) Oh-whoa (oh-whoa, whoa) I'll be fucked up if you can't be right here  I do the same thing, I told you that I never would I told you I changed, even when I knew I never could ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
XXXTENTACION,Revenge,"Used to spend my nights out in a bar room Liquor was the only love I've known But you rescued me from reachin' for the bottom And brought me back from being too far gone  You're as smooth As Tennessee whiskey You're as sweet As strawberry wine You're as warm As a glass of brandy And honey, I stay stoned on your love All the time  I've looked for love in all the same old places ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),"Wish I would've met you Anywhere but where I did Some old high rise town that I won't ever go again I wish we woulda rolled around In some old cab and chased them city lights And hit bars I don't like  We were listenin' to one more silver dollar Hanging out my Silverado down a road I love to ride  Wish I would've known that by now you'd be good and gone And you'd leave us In a cloud of dust Can't you see what you're doin', girl? You ruined damn near everything I love  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Chris Stapleton,Tennessee Whiskey,Are you sick of me? Would you like to be? I'm trying to tell you something Something that I already said  You like a pretty boy With a pretty voice Who is trying to sell you something Something that you already have  But if you're too drunk to drive And the music is right She might let you stay But just for the night And if she grabs for your hand And drags you along She might want a kiss Before the end of this song ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Morgan Wallen,Everything I Love,"You leapt from crumbling bridges Watching cityscapes turn to dust  Filming helicopters crashing In the ocean from way above  Got the music in you, baby Tell me why Got the music in you, baby Tell me why You've been locked in here forever And you just can't say goodbye  Kisses on the foreheads of the lovers Wrapped in your arms  You've been hiding them in hollowed out pianos Left in the dark  Got the music in you, baby ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
TV Girl,Lovers Rock,"Shine bright like a diamond Shine bright like a diamond  Find light in the beautiful sea, I choose to be happy You and I, you and I, we're like diamonds in the sky You're a shooting star I see, a vision of ecstasy When you hold me, I'm alive, we're like diamonds in the sky  I knew that we'd become one right away Oh, right away At first sight I felt the energy of sun rays I saw the life inside your eyes  So shine bright, tonight, you and I We're beautiful like diamonds in the sky Eye to eye, so alive We're beautiful like diamonds in the sky  Shine bright like a diamond (whoa) Shine bright like a diamond (whoa) Shining bright like a diamond We're beautiful like diamonds in the sky ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Cigarettes After Sex,Apocalypse,"When your wrist like this, you don't check the forecast Every day it's gon' rain, yeah Made a brick through a brick, ain't whip up shit This pure cocaine, yeah From the streets, but I got a little sense But I had to go coupe, no brain (Coupe, no brain) Ain't worried 'bout you, I'ma do what I do And I do my thing (Do my thing)  Bought her brand new shoes, told her kick rocks Don't stand too close, diamonds kickbox Think red means goes so I don't stop I know they wish they could catch me, but keep wishin' You think I done turned into a fiend for these bitches Tryna stuff as much as I can in these britches Made your bitch fuck on my friend, it's no difference I ain't never popped no Xan, I sip sizzurp If I ever have to tell on the gang, I won't do it If I put it on a song, I seen it or been through it I can't put it in my song, I know how the feds move Scream free all of the ahks but I ain't no FamGoon Gave my mama ten bands, sent her to Cancún Got the crowd goin' dumb but I ain't no damn fool If I went in there and did it and made it, you can too We done came a long way from broke and sharing shoes ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kanye West, Dwele",Flashing Lights,"La-la-la-la La-la-la-la La-la-la-la (uh, yeah) La-la-la-la  I want you to love me Like I'm a hot ride (uh, yeah) Be thinking of me (uh) Doing what you like So, boy, forget about the world 'Cause it's gon' be me and you tonight (yeah) I wanna make you beg for it Then I'ma make you swallow your pride, oh (uh, uh)  Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world Like I'm the only one that's in command 'Cause I'm the only one who understands How to make you feel like a man, yeah  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Diamonds,"Run that back, Turbo!  You can get the biggest Chanel bag in the store if you want it I gave 'em the drip, they sucked it up, I got 'em on it I bought a new Patek, I had the watch, so I two-toned 'em Taking these drugs, I'm gon' be up until the morning That ain't your car, you just a leaser, you don't own it If I'm in the club, I got that fire when I'm performing The backend just came in, in all hundreds Vibes galore, cute shit, they all on us I'm from Atlanta, where young niggas run shit I know they hating on me, but I don't read comments Whenever I tell her to come, she coming Whenever it's smoke, we ain't running  Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doing all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she getting slayed ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Baby,Pure Cocaine,"Yeh-yeh-yeh-yeh-yeh-yeh Eh, eh-eh-eh  No sé si es casualidad que yo me sienta así Siempre que tú estás cerquita de mí Dime qué me hiciste, qué droga me diste Que desde aquella noche no soy igual Tú me mira' y empiezo a sudar Siento que puedo volar  Baby, la nota ya está haciendo efecto Mi mundo está jodío y me siento perfecto Porque estás tú aquí, moviéndote así, no pare' Baby, tú eres mi droga, esta noche no le baje'  Porque la nota ya está haciendo efecto ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Only Girl (In The World),"B-B-B-Bound to fall in love Bound to fall in love (Uh-huh, honey)  All them other niggas lame, and you know it now When a real nigga hold you down, you supposed to drown  Bound (bound) to fall in love B-B-B-Bound (bound) to fall in love (Uh-huh, honey)  What you doing in the club on a Thursday? She say she only here for her girl birthday They ordered champagne but still look thirsty Rock Forever 21 but just turned 30 I know I got a bad reputation Walk-around-always-mad reputation  Leave-a-pretty-girl-sad reputation Start a Fight Club, Brad reputation I turnt the nightclub out of the basement I'll turn the plane around, your ass keep complaining How you gon' be mad on vacation? Dutty wining 'round all these Jamaicans ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),Just a scar somewhere down inside of me Something I can not repair Even though it will always be I pretend it isn't there (this is how I feel) I'm trapped in yesterday (just a memory) Where the pain is all I know (this is all I know)  And I'll never break away (can't break free) 'Cause when I'm alone  I'm lost in these memories Living behind my own illusion ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Bad Bunny,Efecto,"I love a first cast when the water's glass and the line starts to run Or that first sip of a cold beer when the working week's done I love the twilight in the morning 'fore the day wakes up With the windows down on the first ride in a paid-up truck  And I love a slow down in a beach town with an ocean view And I love a first fall Saturday trip down to Baton Rouge And I love a six-string with the stars out and the campfire glow But girl, that don't even come close  To the way that it feels when you lean in and kiss me The way that you dance when you get kinda tipsy I'm wrapped 'round your finger like this ring I'm wearing That look in your eye, girl, when you catch me staring And I don't even know what it is but now that I found it I can't imagine me living without this Back forty view on our piece of ground ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Bound 2,"Poor me, pour me another drink 'Cause I don't wanna feel a thing No more, hell nah I just wanna sip 'til the pain wears off Poor me, pour me another round Line 'em up and knock 'em down Two more let's go 'Cause I ain't never hurt like this before  Don't wanna think about her Or wear a ring without her Don't wanna hit the karaoke bar Can't sing without her So make them drinks strong 'Cause brother she's gone And if I'm ever gonna move on  I'ma need some whiskey glasses 'Cause I don't wanna see the truth She's probably making out on the couch right now With someone new Yeah, I'ma need some whiskey glasses If I'm gonna make it through If I'ma be single I'ma need a double shot of that heartbreak proof And see the world through whiskey glasses (Ain't nothing else to do, but sip around the truth) And see the world through whiskey glasses ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Linkin Park,Lost,"It's 7 a.m. and I'm on a mountain with a view I'm the only one, alone, at a table meant for two Big Sur looks beautiful this morning And I should be missin' you, I should be missin' you  You're across the pond at a show, I think in Amsterdam And the pictures look pretty, at least they do on your Instagram We say good morning, then goodnight I wonder if you even know where I am, where I am  I'm wearin' the ring still, but I think I'm lyin' Sometimes you forget yours, I think we're done tryin' I realize you loved me much more at 23 I think that this is when it's over for me  Uh-uh ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Jordan Davis,What My World Spins Around,"(You don't know!) (You don't know the pain, man!) Hey, Mickey!  Oh, Mickey you're so fine! You're so fine, you blow my mind! Oh, Mickey you're so fine! You're so fine you, uh, uh! Oh, oh, Mickey you're so fine! You're so fine you blow my mind! Oh, Mickey you're so fine! You're so fine you blow my mind!  Met this boy named Mickey He had on some yellow Dickies I knew he was a hubby 'Cause his neck had hella hickies I said ""It's nice to meet you!"" Shook his hand and it was sticky I looked into his eyes and then ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Whiskey Glasses,"She'd take the world off my shoulders if it was ever hard to move She'd turn the rain to a rainbow when I was living in the blue Why then if she's so perfect, do I still wish that it was you? Perfect don't mean that it's working, so what can I do? (Ooh)  When you're out of sight in my mind  'Cause sometimes I look in her eyes, and that's where I find a glimpse of us And I try to fall for her touch, but I'm thinking of the way it was Said, ""I'm fine"" and said, ""I moved on"" I'm only here passing time in her arms ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kelsea Ballerini,Mountain With A View,"Yeah Wheezy outta here  The dash, it's digi', the schedule busy My head in a hoodie, my shorty a goodie My cousins are crazy, my cousins like Boogie Life is amazin', it is what it should be Been here for ten but I feel like a rookie I tell her, look up, 'cause it's snowin' in Tootsie's  Booked for three years, man you can't even book me It's me and Lil' Baby, this shit goin' crazy Wheezy produced it and Weezy F. made me And she held it down, so she got a Mercedes Young Money Records, the Army, the Navy They ran me ten thousand, I threw it like Brady The foreign is yellow, like Tracee and K.D I trusted my niggas, they never betrayed me  Met all these niggas, they sweeter than Sadie ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Baby Tate,"Hey, Mickey!",Llevo varias noches pisteándome el dolor Rogándole a Dios que me devuelva tu amor Bebé ya desbloquea mis llamadas que quiero hablarte Solo dame un minuto pa' explicarte  Que la regué Me equivoqué Perdóname No lo vuelvo a hacer  Porque tengo varias noches sin dormir Mi cama se quedó con el olor a ti Yo te extraño Te extraño Y no haces nada Tanto que yo hice por ti  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Joji,Glimpse of Us,"Hey, ahw, get it Hey, ahw, get it, ye Hey, ahw, get it Hey, ahw, get it Hey, ahw, get it Hey You ain't nothing but a-  Dog, player, I get it Fraud, player, I get it I understand, I understand You ain't the man, you ain't a man (you ain't nothing but a-) Hound dog, hound dog, hound dog You ain't nothing but a-  Player getting valeted 'round in that whole whip Two fingers, set one down on my toes ten Fueled out with my boobs out, put a cork in it Love it when you be crying out when I'm corseted I don't think you gon' make it, do not let me start raging I'm losing my patience, this ain't staying in Vegas (you ain't nothing but a-)  There's more sides to the story, I'ma tell everybody Had your ass sitting courtside with your arm around me Had your ass sitting first class with your burnt ass out in Abu Dhabi Could've been what we should've been, but you lost a bet, now you gotta find me  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lil Baby, Drake",Yes Indeed,"Déjate ver Dime si hoy va' pa' la calle, bebé 'Toy en el case pensándote otra vez Quiero pichar, pero me salió al revés  Mi amor A las do' paso por ti, ve arreglándote Hoy to' corre por la mía, relájate Prometí que no iba a hacerte daño Así me sienta' extraño, soy el que se quedó en tu piel  Y mientras (y mientras) me calientas (me calientas) Veo todo lo quе nunca me cuentas (Me cuеntas) El party e' má' cabrón si tú te sueltas  Dale hasta abajo que ese culo responde Bebé, no te haga', tú eres under Yo sé to' lo que tú esconde' Tú y yo vamo' a hacer más de una noche  Y mientras (y mientras) me calientas (me calientas) Veo todo lo que nunca me cuentas (Me cuentas) El party e' má' cabrón si tú te sueltas El party e' má' cabrón si tú te sueltas  Fluya, fluya ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Grupo Marca Registrada, Grupo Frontera",Di Que Si,"He was a boy who was a dreamer And he flew so high and proud In a world full of people out to cut his young ass down No one ever understood a single word he said And they cast him to the wolves when he wasn't well and fed  Boys we've got a riser, a riser in our midst And he will get the last laugh if it's the last thing he did And he used to roll around in that red dirt mud But now he's skipping town, and that riser's out for blood  Don't stop goin', goin' South 'Cause they'll let you play your music real damn loud ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),"Wait right here I'll be back in the morning I know that I'm not that important to you But to me, girl, you're so much more than gorgeous So much more than perfect Right now I know that I'm not really worth it If you give me time, I could work on it Give me some time while I work on it  Losin' your patience, and, girl, I don't blame you The Earth's in rotation, you're waiting for me Look at my face when I fuck on your waist 'Cause we only have one conversation a week ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Yandel, Feid",Yandel 150,"Feel it comin' in the air (yeah) Hear the screams from everywhere (yeah) I'm addicted to the thrill (I'm ready) It's a dangerous love affair (what's up? C'mon) Can't be scared when it goes down Got a problem, tell me now (what's up?) Only thing that's on my mind (what's up?) Is who gon' run this town tonight (uh, what's up? Uh) Is who gon' run this town tonight (yeah, what's up? Yeah) We gon' run this town  We are, yeah, I said it, we are This is Roc Nation, pledge your allegiance Get your fatigues on, all black everything Black cards, black cars, all black everything And our girls are blackbirds ridin' with they Dillingers I get more in depth if you boys really real enough This is La Familia, I'll explain later But for now, let me get back to this paper  I'm a couple bands down and I'm tryin' to get back I gave Doug a grip and lost a flip for five stacks Yeah, I'm talkin' five comma, six zeros, dot zeros, here Doug Back to runnin' circles 'round niggas, now we squared up Hold up  Life's a game, but it's not fair (yeah) I break the rules, so I don't care (uh-huh) So I keep doin' my own thing Walkin' tall against the rain (what's up?) Victory's within the mile Almost there, don't give up now (what's up?) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Zach Bryan,Heading South,"We used to chase that Chattanooga fray Couple a kids in a Chevrolet Catch a little air when we cross the tracks Sipping on something from a paper sack You hang your shirt on that maple lamp Slipping through the moon to the river bend Wasn't very long I was jumping in, jumping in I guess I'm still doing now, what I was doing then  Chasing you, like a shot of whiskey Burning going down, burning going down Chasing you, like those goodbye taillights Heading west to anywhere out of this no where town  Chasing that freedom, chasing that feeling that got gone too soon Chasing that you and me, I only see in my rear view ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Peep,Star Shopping,"Kiddo, Kiddo K-Kiddominant on the beat, better run it back  Fuckin' Robitussin I don't know why this shit got me lazy right now, yeah Can't do Percocets or Molly I'm turnin' one, tryna live it up here right, right, right  Baby, you can Ride it, ooh yeah Bring it over to my place And you be like, ""Baby, who cares?"" But I know you care Bring it over to my place  You don't know what you did, did to me Your body lightweight, speaks to me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"JAY-Z, Rihanna, Kanye West",Run This Town,"Tan fácil que es enamorarme Y tan difícil olvidarte Porque la vida me juraste Y hoy te busco y tú no estás  Aunque me duela ver tu foto Entreno a mi corazón roto Por si mañana te vuelva a encontrar  Ya no sé disimular Llamo y no te puedo hablar Tu recuerdo no se va No se va, no se va Algo en ti quiere volver Y algo en mí te va a encontrar Tu recuerdo no se va No se va, no se va  Quédate otra vez Quédate toda la noche Quédate otra vez Quédate más de las 12:00  Quédate otra vez Que mi corazón no olvida ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Chasin' You,"Ayy, ayy, ayy, ayy (ooh) Ooh, ooh, ooh, ooh (ooh)  Ayy, ayy Ooh, ooh, ooh, ooh  Needless to say, I keep her in check She was a bad-bad, nevertheless (yeah) Callin' it quits now, baby, I'm a wreck (wreck) Crash at my place, baby, you're a wreck (wreck)  Needless to say, I'm keeping her in check She was all bad-bad, nevertheless Callin' it quits now, baby, I'm a wreck Crash at my place, baby, you're a wreck  Thinkin' in a bad way, losin' your grip Screamin' at my face, baby, don't trip Someone took a big L, don't know how that felt ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Chris Brown,Under The Influence,"Yeah  I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby  I look around and Sin City's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone  I said, ooh, I'm blinded by the lights ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Grupo Frontera,No Se Va - En Vivo,"Don't, don't play with her, don't be dishonest (Ayy) Still not understandin' this logic (Ayy) I'm back and I'm better (And I'm better) I want you bad as ever Don't let me just let up I wanna give you better Baby, it's whatever  Somebody gotta step up Girl, I'm that somebody, so I'm next up Be damned if I let him catch up It's easy to see that you're fed up I am on a whole 'nother level Girl, he only fucked you over 'cause you let him Fuck him, girl, I guess he didn't know any better Girl, that man didn't show any effort  Do all I can just to show you you're special Certain it's your love that holds me together Lately you say he been killin' the vibe Gotta be sick of this guy Pull up, skrr, get in the ride ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,"I'm coming out of my cage and I've been doing just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss  Now I'm falling asleep and she's calling a cab While he's having a smoke and she's taking a drag Now they're going to bed and my stomach is sick And it's all in my head, but she's touching his  Chest now, he takes off her dress now Let me go  I just can't look, it's killing me And taking control ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Weeknd,Blinding Lights,"Damn Love or lust Damn All of us  Give me a run for my money There is nobody, no one to outrun me So give me a run for my money Sipping bubbly, feeling lovely, living lovely Just love me I wanna be with you, ayy, I wanna be with I wanna be with you, ayy, I wanna be with I wanna be with you (Love me, just love me)  If I didn't ride blade on curb, would you still (Love me) If I made up my mind at work would you still (Love me) Keep it a hundred, I'd rather you trust me than to (Love me) Keep it a whole one hund', don't got you I got nothing  Ay, I got something (I got something) Hol' up, we gon' function (We gon' function), no assumptions (No assumptions) Feeling like Tyson wit' it (Feeling like Tyson wit' it), knock it out out twice (Knock it out out twice) I'm with it, only for the night, I'm kiddin' Only for life, you're a homie for life You're a homie for life, let's get it Hit that shoulder lean, I know what comin' over mean ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
